,Year,Runtime (Minutes),Rating,Votes,Metascore,Revenue (Millions),imdb_avg_cast_pts,yga_avg_cast_rank,imdb_avg_director_pts,yga_avg_director_rank,genre_avg_rank,revenue_groups
729,2012,94,6.4,16917,54.0,49.0,0.0,0.0,0,0,7.0,2
730,2011,120,7.4,67464,76.0,11.23,22380.333333333332,1197.3333333333333,2283,0,7.0,1
731,2008,112,5.7,62719,29.0,70.22,29702.333333333332,124.66666666666667,0,141,2.3333333333333335,3
732,2012,83,6.4,225394,58.0,59.62,24107.5,728.0,0,0,4.0,3
733,2014,108,6.3,38804,24.0,5.98,0.0,1046.0,0,0,10.0,1
734,2016,128,7.5,5531,84.0,0.13,0.0,0.0,847,0,6.0,1
735,2008,113,5.5,163144,54.0,100.02,13218.0,429.5,0,124,3.0,3
736,2014,108,6.3,125190,40.0,54.41,6188.0,607.75,0,0,6.5,3
737,2015,125,6.4,15232,74.0,1.98,40429.333333333336,850.6666666666666,2283,0,5.0,1
738,2011,135,7.1,137117,80.0,3.03,10327.25,228.5,7514,0,3.0,1
739,2009,97,7.1,95480,73.0,104.37,0.0,0.0,0,0,4.333333333333333,3
740,2010,98,6.8,157499,69.0,81.56,22821.333333333332,348.3333333333333,22797,96,4.5,3
741,2012,138,7.3,276347,76.0,93.75,44674.0,161.33333333333334,63408,37,5.0,3
742,2015,94,6.7,77447,55.0,177.34,1833.5,286.5,0,0,4.333333333333333,4
743,2013,131,7.8,77986,49.0,0.09,24304.5,599.0,6892,0,8.0,1
744,2013,128,7.5,69659,62.0,95.0,44402.0,89.0,2492,136,10.666666666666666,3
745,2008,123,6.8,198395,48.0,81.16,30013.333333333332,711.0,2237,0,6.333333333333333,3
746,2013,104,7.4,111875,62.0,16.17,38895.333333333336,698.3333333333334,4572,133,10.0,2
747,2013,116,6.8,88829,63.0,11.33,65508.75,430.75,3622,0,6.333333333333333,1
748,2008,96,7.1,208770,70.0,23.21,37867.0,773.0,25099,33,7.0,2
749,2008,92,7.6,329788,73.0,215.4,22407.666666666668,136.0,0,0,3.6666666666666665,4
750,2016,111,5.9,9993,67.0,54.01,0.0,689.5,0,0,3.5,3
751,2009,115,6.6,297093,49.0,125.32,51184.333333333336,678.0,0,0,2.0,4
752,2007,123,7.5,55648,64.0,36.58,8644.666666666666,718.6666666666666,2617,0,8.333333333333334,2
753,2006,107,6.4,136642,52.0,41.78,1891.0,1030.0,0,0,14.0,2
754,2008,141,7.8,206793,63.0,35.71,17445.5,682.0,56012,0,9.333333333333334,2
755,2010,113,7.2,119376,40.0,19.06,9561.0,893.0,1891,0,7.0,2
756,2014,81,6.2,32310,54.0,66.95,26171.5,127.0,0,0,7.0,3
757,2013,85,7.1,100890,81.0,1.36,38889.5,1037.3333333333333,1798,0,3.0,1
758,2013,120,6.5,61060,46.0,0.16,26152.0,836.5,0,0,7.666666666666667,1
759,2016,110,6.9,7402,78.0,3.4,6776.0,1400.0,0,0,7.0,1
760,2015,122,6.9,20907,67.0,0.64,12993.0,1382.0,0,0,10.333333333333334,1
761,2011,99,6.6,20194,51.0,52.69,0.0,0.0,0,0,7.0,3
762,2006,126,6.9,270429,66.0,133.38,47538.5,768.0,17412,0,3.3333333333333335,4
763,2015,116,7.7,21569,70.0,3.36,0.0,0.0,0,0,3.5,1
764,2009,85,2.7,59512,45.0,9.35,11053.0,993.0,0,0,3.0,1
765,2012,93,5.4,64584,31.0,44.8,19452.0,182.0,0,0,4.5,2
766,2011,107,7.0,113599,48.0,13.77,31583.666666666668,559.0,1955,0,7.0,1
